ID,Area,Role,"User Story","Expected Behaviour (code-derived)","Code Reference","P1 Built","P2 Test Result","Errors Found","P3 Fix Status","P4 Re-test"
CA-03,"Catalog (Batch prefetch)",Visitor,"As a visitor, I want catalog cards batch-prefetched so that browsing 24+ cards has no N+1","render_cards()+prefetch: batched getEffectiveStatuses+countByEditions+enrolled-set+LD progress. Card partials pure renderers.","catalog.php 449-654",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Batch prefetch (no N+1) — driven implicitly: /klassikaal rendered 17 cards in one load (CA-01); integration CatalogBatchHydration green.","FIXED: assert rendered-card shape (/edities/ anchor) not specific permalink",
CA-04,"Catalog (Pure-LD course card)",Visitor,"As a visitor, I want pure-LD course cards to show best edition + my completion state so that I know if enrolled","prefetch_course_cards(): ranks enrollable(2)>active(1). user_state completed>in_progress>enrolled. CTA per state.","catalog.php 557-654",Yes,DRIVEN_PASS,"Pure-LD cards 'Start opleiding'; detail progress '0% / Nog 3 modules' logged-in.",,
CA-05,"Catalog (Theme filter)",Visitor,"As a visitor, I want theme tabs on /klassikaal and /online so that I see only relevant courses","theme tabs from stride_theme. setFilter()→stride_catalog_page. Counts pre-computed. Rolls back on fetch failure.","page-klassikaal.php 68-89",Yes,DRIVEN_PASS,"Theme filter: klassikaal Beweging 17->10; online Schoolbeleid 7->3.",,
CA-06,"Catalog (Load-more pagination)",Visitor,"As a visitor, I want 'Toon meer' to server-render the next slice so that the grid expands without reload","loadMore()→stride_catalog_page returns {html,count}. insertAdjacentHTML beforeend. hasMore from shown vs total.","page-klassikaal.php 91-100",Yes,"DRIVEN_PASS (not exercisable on this seed)","'Toon meer' hidden (hasMore=false); 17 editions fit page 1. Append logic green via integration CatalogEndpointTest.",,
CA-07,"Catalog (Course-page sidebar)",Visitor,"As a visitor on a course page, I want the best active edition in the sidebar so that I know what's enrollable","single-sfwd-courses.php sidebar via primary_edition. No edition→generic online badge + pure-LD flow.","catalog.php 557-654",Yes,"DRIVEN_PASS (verified)","Sidebar is ONLINE-only by design (single-sfwd-courses.php:50, show_online_sidebar=is_online). Verified online course HAS aside + 'Start opleiding' CTA. Agent tested a klassikaal course (flat list, no sidebar = intended). CSV over-generalized.",,
CA-08,"Catalog (Enumeration cap warning)",System,"As the system, I want a warning if the 500-item cap is exceeded so that I know the list is truncated","warn_if_capped(): count>=500 logs 'catalog enumeration filled cap'.","catalog.php 136-144",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","500-item cap warning — logging only, no UI; integration green.",,
CA-09,"Catalog (Unpublished-course exclusion)",System,"As the system, I want editions of unpublished courses excluded so that draft/trashed courses don't leak","edition_items_from_ids(): get_post_status!='publish'→skip. Defensive at card-edition.php.","catalog.php 287-347",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Unpublished-course exclusion — backend filter; integration CatalogTrashedCourse green.",,
AT-01,"Attendance (Mark present/absent/excused)",Trainer,"As a trainer, I want to mark a user present/absent/excused atomically so that data is reliable","mark(): resolves editionId. record(): existing→UPDATE (idempotent), else INSERT. Fires stride/attendance/marked. WP_Error on DB fail.","AttendanceService::mark() 81-111",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Mark present/absent/excused — driven via AD-06 admin attendance; 93 rows.",,
AT-02,"Attendance (Re-mark no duplicate)",Trainer,"As a trainer, I want to re-mark without duplicates so that correcting is safe","record(): findBySessionAndUser→UPDATE or INSERT. No duplicates.","AttendanceRepository::record() 34-53",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Re-mark no duplicate — driven via AD-06 (re-toggle updated, not duplicated).",,
AT-03,"Attendance (Present counts)",System,"As the system, I want Present to count and Absent/Excused not to so that reports reflect attendance","AttendanceStatus: Present countsAsAttended()=true; Absent/Excused=false. Hours/rate/presentUserIds filter accordingly.","Domain/AttendanceStatus.php 19-22",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Present counts / absent-excused don't — backend status logic; integration green.",,
AT-04,"Attendance (Query by session)",System,"As the system, I want to query attendance by session so that trainers see who attended","getBySession() WHERE session_id, optional status. getSessionAttendance() formats.","AttendanceRepository::getBySession() 103-118",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Query by session — backend, surfaced in AD-04/06 attendance grid.",,
AT-05,"Attendance (Hours attended)",System,"As the system, I want hours-attended per user per edition so that certificates show time invested","getHoursAttended(): countsAsAttended records→sumDurationHours() one query.","AttendanceService::getHoursAttended() 176-199",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Hours attended — surfaced in PA-05 attendance (hours=7).",,
AT-06,"Attendance (Rate)",System,"As the system, I want attendance rate per user per edition so that reports show participation%","getAttendanceRate(): (attended/total)*100. 0 if no sessions.","AttendanceService::getAttendanceRate() 206-217",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Attendance rate — backend; integration green.",,
AT-07,"Attendance (Bulk present)",Trainer,"As a trainer, I want to bulk-mark users present so that I don't mark each individually","markMultiplePresent(): loops markPresent(). Returns userId=>result. Non-atomic.","AttendanceService::markMultiplePresent() 227-236",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Bulk present — driven via AD-06 'Allen aanwezig'.",,
AT-08,"Attendance (Completion trigger)",System,"As the system, I want attendance to trigger completion checks so that enrollment transitions to Completed","EditionCompletion listener on stride/attendance/marked evaluates hours/rate.","EditionService::__construct() 51-53",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Completion trigger on attendance — backend; integration PostCourseCompletion green.",,
DB-01,"Profile (View personal)",Student,"As a student, I want to view my personal info so that I can verify what's stored","first/last from wp_users; phone/organisation/department from user_meta. Email read-only 'Neem contact op om je e-mailadres te wijzigen.' Display mode; edit via 'Bewerken'.","tab-profiel.php 21-104",Yes,DRIVEN_PASS,,,
DB-02,"Profile (Edit personal)",Student,"As a student, I want to edit my personal info so that my profile stays current","Alpine x-model; POST stride_update_profile form_type=personal. Partial update; empty wipes field. display_name recomputed. Toast 'Persoonlijke gegevens bijgewerkt.'","ProfileHandler.php 66-111",Yes,DRIVEN_PASS,"Minor: success toast is generic 'Opgeslagen', not the per-section 'Persoonlijke gegevens bijgewerkt.' my CSV expected (handler returns specific msg but UI shows generic). Behaviour correct + persists.",,
DB-03,"Profile (Edit billing)",Student,"As a student, I want to update billing info so that quotes are issued correctly","billing_company/vat/address_1/postcode/city/invoice_email/gln_number. Partial update. Empty invoice_email falls back to user email. 'Facturatiegegevens bijgewerkt.'","ProfileHandler.php 122-149",Yes,DRIVEN_PASS,"Minor: generic 'Opgeslagen' toast (not 'Facturatiegegevens bijgewerkt.'). Persists.",,
DB-04,"Profile (Profile type)",Student,"As a student, I want to select my profile type so that I'm categorised correctly","Only renders if getTypes() non-empty. Dropdown with colour badges. Empty → 'Niet ingesteld'. 'Profieltype bijgewerkt.'","tab-profiel.php 160-241",Yes,DRIVEN_PASS,"Minor: generic 'Opgeslagen' toast.",,
DB-05,"Profile (Notification prefs)",Student,"As a student, I want to manage notification prefs so that I only get wanted emails","Checkboxes reminders/new_courses/newsletter (yes/no). Language nl/fr/en default nl (allowlist). Partial update. 'Meldingsvoorkeuren bijgewerkt.'","ProfileHandler.php 287-312",Yes,DRIVEN_PASS,"Minor: generic 'Opgeslagen' toast.",,
DB-06,"GDPR (Data export)",Student,"As a student, I want to export my data so that I exercise GDPR right of access","stride_gdpr_export → wp_create_user_request export_personal_data. Confirmation email. 'Je ontvangt een bevestigingsmail om de export te starten.'","ProfileHandler.php 157-179",Yes,DRIVEN_PASS,"Minor text: shows 'Aanvraag verstuurd' not a 'bevestigingsmail' sentence. Behaviour correct (creates export request).",,
DB-07,"GDPR (Erasure request)",Student,"As a student, I want to request erasure so that I exercise right to be forgotten","Two-stage confirm. stride_gdpr_erase does NOT auto-delete: ndmail_send stride-gdpr-erasure-admin + do_action stride/gdpr/erasure_requested. 'De beheerder neemt zo snel mogelijk contact met je op.'","ProfileHandler.php 199-246",Yes,DRIVEN_PASS,"Minor text: two-stage confirm works, shows 'Aanvraag verstuurd' (not the longer expected sentence). Account NOT deleted (correct).",,
DB-08,"Profile (Logout)",Student,"As a student, I want to log out so that I can end my session","Logout link href=wp_logout_url(home_url('/')). No API call.","tab-profiel.php 559-564",Yes,DRIVEN_PASS,,,
DB-09,"Invoicing (View quotes)",Student,"As a student, I want to view all quotes (active+cancelled) so that I track costs","getQuoteData() returns active[]+cancelled[]. Active grouped+expanded; cancelled collapsible. No pagination.","tab-offertes.php 1-50",Yes,DRIVEN_PASS,,,
DB-10,"Invoicing (Quote details)",Student,"As a student, I want to see quote details so that I know charges","Status badge Draft 'In behandeling'/Sent 'Verzonden'/Exported 'Verwerkt'/Cancelled 'Geannuleerd'. Subtotal/discount(+voucher)/21% tax/total. valid_until grey. Cancelled faded+strikethrough.","tab-offertes.php 54-357",Yes,DRIVEN_PASS,"Verified totals render: Subtotaal/Korting(voucher)/BTW(21%)/Totaal with correct math (€495 -€49.50 +€93.56 = €539.06).",,
DB-11,"Invoicing (Download PDF)",Student,"As a student, I want to download a quote PDF so that I file/send it","stride_quote_pdf?quote_id&nonce, new tab. Renders company/invoice-to/lines/subtotal/discount(+voucher)/tax/total. Fallback if data missing.","pdf/quote.php 1-50",Yes,"DRIVEN_FAIL (verified product bug)","FIXED: added wp_ajax_stride_quote_pdf handler (QuotePDFGenerator::handleDownload) — nonce + login + ownership(or stride_manage) + get-or-generate + stream. Phase-4 verified in real browser: owner click -> 200 application/pdf 36KB '%PDF-'; cross-user request -> 404 'Offerte niet gevonden.' (no oracle). Was: returns '0'.","FIXED + verified",DRIVEN_PASS
DB-12,"Invoicing (Edit billing on draft)",Student,"As a student, I want to edit billing on a draft quote so that the invoice is correct","Inline-edit only if Draft/Sent. company/email/address/postcode/city/vat. stride_update_quote. 'Offerte bijgewerkt.' Redirect after save.","tab-offertes.php 180-240",Yes,"DRIVEN_PASS (with UX bug)","FIXED: quote billing-edit panel now closes after save. Root cause: panel had x-init='startEdit()' with no x-show='editing' gate, so inlineEditSection setting editing=false had no visible effect. Added @inline-section-saved='moreOpen=false' on the wrapper (event already dispatched by built main.js, no rebuild). Phase-4 verified: after Opslaan, editPanelStillVisibleAfterSave=false.","FIXED + verified",DRIVEN_PASS
DB-13,"Invoicing (Locked quote guard)",Student,"As a student, I want an error on a locked quote so that I know it's finalised","validateQuoteAccess(): quote['locked']→WP_Error('locked','Deze offerte is vergrendeld door de beheerder en kan niet meer worden bijgewerkt.'). Blocks billing edit + voucher.","QuoteUpdateHandler.php 205-210",Yes,DRIVEN_PASS,"Locked/finalized (Verwerkt) quote correctly omits the Aanpassen button. Minor: no 'vergrendeld' explanatory text — the lock is silent (button absent). The lock ERROR message only triggers server-side if bypassed; not surfaced in normal UI (acceptable).",,
DB-14,"Invoicing (Apply voucher on quote)",Student,"As a student, I want to apply a voucher to a draft quote so that I get a discount","Only if Draft/Sent AND no voucher applied. stride_apply_quote_voucher. Success 'Kortingscode toegepast!' then reload. Error in red.","tab-offertes.php 242-284",Yes,"DRIVEN_PASS (verified)","Agent saw no voucher input because its quote already had SEEDVOUCHER10 applied. Verified: input shows only when canApplyVoucher = isDraftOrSent && empty(voucher_code) (tab-offertes.php:49). Handler registered via ntdst/api_data/stride_apply_quote_voucher. Correct conditional UI.",,
DB-15,"Invoicing (Voucher denial messages)",Student,"As a student, I want clear errors for bad vouchers so that I know why","not found→'Voucher niet gevonden'; inactive→'Voucher is niet meer geldig'; used>=limit→'Voucher is uitgeput'; expired→'Voucher is verlopen'; not-yet→'Voucher is nog niet geldig'; scope→scoped error.","VoucherService.php 114-149",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Voucher denial messages — driven via EN-11 (invalid -> 'Vouchercode ongeldig of verlopen.').",,
DB-16,"Invoicing (Cancel quote)",Student,"As a student, I want to cancel a quote before export so that I'm not charged if I change my mind","'Annuleren' if status!=Exported. Two-stage confirm. Sets Cancelled. releaseVoucher() reverses redemption. Redirect ?tab=offertes.","tab-offertes.php 150-174",Yes,DRIVEN_PASS,,,
DB-17,"Invoicing (Validity display)",Student,"As a student, I want to see quote validity so that I know when to act","'Geldig tot <date>' grey if valid_until set. stride_format_date().","tab-offertes.php 124-129",Yes,DRIVEN_PASS,,,
DB-18,"Invoicing (Session price modifiers)",Student,"As a student in a klassikaal edition with optional sessions, I want session price modifiers in my quote so that I know cost impact","items[] base 'edition' + 'session_modifier' per selected optional session (can be negative). Recalc on onSessionSelectionCompleted. Non-draft blocks modifier changes (fires session_modifier_blocked).","QuoteService.php 135-261",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Session price modifiers — backend; integration QuoteUpdateHandler green.",,
DB-19,"Invoicing (Discount breakdown)",Student,"As a student with a voucher, I want to see discount + code so that I know the deduction","discount row only if !isZero(). Voucher code grey '(CODE)'. '-€ X,XX' green. Discount capped at subtotal.","tab-offertes.php 104-114",Yes,DRIVEN_PASS,,,
DB-20,"Invoicing (Quote scoping)",Student,"As a student, I want only my own quotes so that billing is private","getQuoteData() queries current user only. validateQuoteOwnership(): quote['user_id']===userId.","QuoteUpdateHandler.php 188-233",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Quote ownership scoping — driven via DB-09 (only own quotes shown).",,
DB-21,"Vouchers (Usage tracking)",Admin,"As an admin, I want vouchers to track usage so that I know when exhausted","used_count incremented via transaction (FOR UPDATE). used>=limit→status exhausted. Release decrements; reverts to Active if below limit.","VoucherService.php 195-276",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Voucher usage tracking (FOR UPDATE) — concurrency; integration VoucherService green.",,
DB-22,"Vouchers (Edition scope)",Admin,"As an admin, I want to scope vouchers to editions so that they're only redeemable there","scope_mode ''/'only'(edition_id)/'except'(excluded_edition_ids). ScopeValidator vs quote edition_id. Fail→scoped WP_Error.","VoucherService.php 143-148",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Edition scope — driven via EN-11 valid voucher (SEEDVOUCHER10 applied).",,
DB-23,"Vouchers (Validity window)",Admin,"As an admin, I want validity dates so that vouchers redeem only in a window","valid_from/valid_until vs current_time. now<from→'nog niet geldig'; now>until→'verlopen'. Empty=always valid.","VoucherService.php 132-140",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Validity window — backend; integration green.",,
DB-24,"Vouchers (Discount types)",Admin,"As an admin, I want percentage/fixed/full vouchers so that I offer different incentives","DiscountType Full/Fixed/Percentage. Percentage capped 100%; Fixed capped at subtotal. apply_mode single_session prorates.","VoucherService.php 158-187",Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","Discount types — percentage 10% applied in EN-11 (€495->€445.50 net).",,
DB-25,"Vouchers (Double-redemption guard)",Admin,"As an admin, I want to prevent double-redemption by one user so that the limit isn't abused","redemptions[] {user_id,quote_id,redeemed_at}. If user_id found→WP_Error('already_redeemed','Je hebt deze voucher al gebruikt'). Atomic transaction.","VoucherService.php 225-232",Yes,"BACKEND-VERIFIED (no UI surface; integration-suite driver)","Double-redemption guard — backend; integration green.",,
DB-26,"Invoicing (BTW 21%)",Student,"As a student, I want 21% VAT calculated correctly so that I know the tax","tax=round((subtotal-discount)*0.21) via QuoteCalculator. 'BTW (21%)'. Money cents precision.",QuoteCalculator.php,Yes,"VERIFIED-VIA-SIDE-EFFECT of a driven flow","21% BTW — driven via DB-10 (BTW 21% €93.56 on €495-49.50).",,
DB-27,"GDPR (Anonymise user)",Admin,"As an admin, I want to anonymise a user keeping registrations so that I comply with retention","anonymise(): user_login/email/display_name/first/last/description stripped. Deletes mapped meta + EXTRA_PII. New random password. _stride_anonymised_at set. Idempotent. Refuses admins/stride_manage. Demotes to subscriber.","UserLifecycleService.php 164-239",Yes,DRIVEN_PASS,"Anonymised seed_filler5: PII stripped (anonymised_13444 / empty names / anonymised+...@deleted.local), record kept.",,
DB-28,"GDPR (Anonymised label)",Admin,"As an admin, I want to see when a user was anonymised so that I audit lifecycle","If anonymised, user-edit shows 'Geanonimiseerd op <date>' from _stride_anonymised_at.","UserLifecycleService.php 102-152",Yes,DRIVEN_PASS,"Edit page shows 'Geanonimiseerd op 22 jun 2026 11:34'.",,
DB-29,"GDPR (Anonimiseer row action)",Admin,"As an admin, I want an 'Anonimiseer' row action instead of hard-delete so that I don't orphan registrations","Filters user_row_actions: replaces 'Verwijderen' with admin_post stride_anonymise_user. Hard delete still available. Admin notice on redirect.","UserLifecycleService.php 247-280",Yes,DRIVEN_PASS,"'Anonimiseer' row action present; notice 'Gebruiker #13444 is geanonimiseerd. Inschrijvingen blijven bewaard.'",,
DB-30,"Dashboard (Nav consistency)",Student,"As a student, I want consistent dashboard tabs so that nav doesn't disappear between sections","Single nav data structure. Sidebar(lg+) + mobile dock same primary (home/inschrijvingen/trajecten/offertes)+utility (meldingen/downloads/certificaten/profiel). Active aria-current. ?tab=slug. Rail state in localStorage.","nav-sidebar.php 1-150",Yes,DRIVEN_PASS,"Nav identical across home/inschrijvingen/offertes (7 links, active marked). Note: 'Profiel' is reached via the avatar at sidebar bottom, not a primary nav item (by design).",,
AD-01,"Admin edition (CRUD)",Admin/coordinator,"As an admin, I want to CRUD editions so that I manage offerings","vad_edition CPT. Metabox: title/course(Select2)/dates/capacity/price(cents)/venue. edit_post + nonce stride_edition_nonce. Status dropdown (9 OfferingStatus). Sortable list, filter by course/status/format. Bulk delete disabled.","EditionAdminController.php 60-370",Yes,DRIVEN_PASS,"Created edition 56110 (publish OK). 9-status dropdown confirmed.",,
AD-02,"Admin edition (Sessions CRUD)",Admin/coordinator,"As an admin, I want to manage sessions so that meeting days are scheduled","vad_session CPT. AJAX stride_add/update/delete_session, nonce+edit_post. type validated vs SessionType. webinar_link esc_url_raw. price_modifier float→cents. wp_delete_post(true) on delete.","EditionAdminController.php 537-634",Yes,DRIVEN_PASS,"Added/edited/deleted session 56111 via AJAX.",,
AD-03,"Admin edition (Notes)",Admin/coordinator,"As an admin, I want notes on an edition so that I track todo/email/info","JSON array meta 'notes' {type,content,author,date}. Modal add; soft-delete by _deleted. type-specific icon/badge. sanitize_textarea_field. Reset on duplicate.","EditionAdminController.php 271-357",Yes,DRIVEN_PASS,"Minor: after deleting the LAST note, empty-state 'Nog geen notities toegevoegd' does not reappear (list becomes empty div).",,
AD-04,"Admin edition (Participants modal)",Admin/coordinator,"As an admin, I want a participants modal so that I manage registrations","Query registrations for edition, batch users+attendance. Name/email from user or enrollment_data (anonymous). Status, enrolled_by, registered_at. Per-session attendance grid. Approve/Reject/Approve-Post buttons via AJAX.",EditionRegistrationMetabox.php,Yes,DRIVEN_PASS,"Approve/Reject buttons only on 'In afwachting' rows, not 'Taken openstaand' (likely intentional — tasks must complete first). Aanwezigheid tab empty-state correct.",,
AD-05,"Admin edition (Duplicate)",Admin/coordinator,"As an admin, I want to duplicate an edition so that I reuse a setup","duplicate(): new post + merged fields + FIELD_RESETS (notes/documents/selection_open). ' (kopie)'. Sessions copied date=today. Terms copied. status=draft. Row action edit_post+nonce.",EditionDuplicator.php,Yes,DRIVEN_PASS,"Dupliceren created 56112 '(kopie)' as Concept.",,
AD-06,"Admin edition (Mark attendance)",Admin/coordinator,"As an admin, I want to mark attendance per session + bulk so that participation is tracked","AJAX stride_mark_attendance (session/user/status). unmarked deletes. stride_bulk_attendance marks all confirmed present. Returns presentCount/totalCount. Fires stride/attendance/marked.","EditionAdminController.php 661-744",Yes,DRIVEN_PASS,"Minor a11y: attendance toggle button title stays 'Niet gemarkeerd' after marking present (tooltip not updated). State class updates correctly; bulk 'Allen aanwezig' works.",,
AD-07,"Admin edition (Lock quotes)",Admin/coordinator,"As an admin, I want to lock/unlock all quotes for an edition so that prices stop changing","bulkSetLockedByEdition() AJAX stride_bulk_lock_quotes. Returns total/changed/unchanged. Locked blocks session modifiers. Toast 'N offertes vergrendeld'.","EditionAdminController.php 758-779",Yes,DRIVEN_PASS,"Lock works (0/1 -> 1/1, button flips to Ontgrendel). Minor: no toast (in-place text update only). CSV expected a toast; in-place is acceptable.",,
AD-08,"Admin edition (XLSX export)",Admin/coordinator,"As an admin, I want to export registrations as multi-sheet XLSX so that I report/process","stride_export_registrations: Overzicht/Deelnemers/Facturatie/Aanwezigheid/Taken sheets. Batch users+quotes+attendance. CSV-injection safe (strings). export-{title}-{date}.xlsx.",EditionRegistrationExporter.php,Yes,DRIVEN_PASS,"XLSX export 200, correct content-type, 10965 bytes.",,
AD-09,"Admin edition (Namecards export)",Admin/coordinator,"As an admin, I want to export name cards so that I print badges","EditionNamecardExporter formats printer-friendly labels. type=namecards.",EditionNamecardExporter.php,Yes,DRIVEN_PASS,"Naamkaartjes export is .docx (Word) 200, 7730 bytes.",,
AD-10,"Admin edition (Attendance CSV)",Admin/coordinator,"As an admin, I want to export attendance CSV so that I archive it","EditionAttendanceExporter: sessions×participants grid with status. type=attendance.",EditionAttendanceExporter.php,Yes,DRIVEN_PASS,"Presentielijst export is .docx (Word), NOT CSV. 200, 8103 bytes. CSV's 'Attendance CSV' label is a spec/impl mismatch — export works, format is Word.",,
AU-01,"Auth (Magic link / password login)",Student/anonymous,"As a student, I want to log in via magic link or password so that I access my account","requestMagicLink() token+ndmail, rate 3/email,10/IP per 15min. Password login 5/IP/15min, wp_check_password. Both check consent.isActivated. Sets auth cookie.","ntdst-auth AuthService.php 182-253",Yes,"DRIVEN_PASS (with i18n gap)","DRIVEN_PASS but English UI ('Sign In','Forgot your password?') — see AU-04 shared-plugin i18n gap.",,
AU-02,"Auth (Registration)",Anonymous,"As an anonymous user, I want to register so that I get an account","register() POST /registreren, rate 3/IP/15min. Creates WP_User, activation email token (one-time, 7-day). Activation sets consent+logs in. Data encrypted in transient.","ntdst-auth RegistrationService.php",Yes,"DRIVEN_PASS (with i18n gap)","DRIVEN_PASS but English UI ('Create Account') — see AU-04.",,
AU-03,"Auth (Password reset)",Student,"As a student, I want to reset my password via magic link so that I regain access","requestMagicLink() (no password needed). Verified at auth/verify/{token}, sets cookie, user updates password. Single-use 7-day.","ntdst-auth TokenHelper.php",Yes,"DRIVEN_PASS (with i18n gap)","DRIVEN_PASS but English UI ('Send Login Link') — see AU-04.",,
AU-04,"Auth (Rate-limit errors)",Anonymous,"As an anonymous user, I want rate-limit errors so that abuse is prevented","isRateLimited('magic_email_'.email) transient count. 3/email, 5/IP password, 3/IP registration. 'Wacht even voordat je een nieuw inloglink aanvraagt'. Counter on every attempt.","ntdst-auth AuthService.php 191-227",Yes,"DRIVEN_FAIL (verified)","NOT auto-fixed (shared ntdst-auth plugin, cross-project). Two issues: (1) rate-limit message is ENGLISH 'Please wait before requesting another login link.' (AuthService.php:194) — and the ENTIRE ntdst-auth UI is English (~50 __() strings, NO languages/ dir, no nl_BE .mo) on a Dutch site: 'Sign In','Create Account','Send Login Link' etc. (also affects AU-01/02/03). (2) message rendered twice on rapid multi-click (login.php:40-47 two x-if message blocks; race on rapid resubmits). Both require touching the shared auth plugin — surfaced to user for a decision rather than changed unilaterally.","FLAGGED — shared plugin, needs decision",n/a
AU-05,"Auth (wp-login redirect)",Admin,"As an admin, I want wp-login redirected to /aanmelden so that branding is consistent","Config redirect_wp_login=true → login_init redirects wp-login.php to login_url '/aanmelden'.","ntdst-auth AuthService.php 48-50",Yes,DRIVEN_PASS,"/wp/wp-login.php redirects to /aanmelden immediately.",,
AX-01,"Audit/Impersonation (Impersonate)",Admin,"As an admin, I want to impersonate a student so that I debug their experience","POST /admin/users/{id}/impersonate. validateTarget rejects !manage_options, id<=0, target-is-admin. 64-hex token transient {admin_id,target_id} 3600s. Cookie stride_impersonate_token. wp_set_auth_cookie(target). End restores admin.",ImpersonationHandler.php,Yes,DRIVEN_PASS,"'Bekijk als gebruiker' -> became Pieter (impersonation bar '<- Terug naar Admin Seed'); end restored admin.",,
AX-02,"Audit/Impersonation (Audited)",Admin,"As an admin, I want impersonation audited so that actions are traceable","Rejects admin-to-admin. Starts logged via do_action. End requires valid transient (token+admin_id match cookie). AuditBridge logs events.","ImpersonationHandler.php 22-40",Yes,"DRIVEN_PASS (via AX-01 + AX-03)","Impersonation start logged to audit (AX-03 table shows entries with actor); admin-to-admin rejection is backend-enforced (ImpersonationHandler).",,
AX-03,"Audit (View audit log)",Admin,"As an admin, I want an audit log of all actions so that I track lifecycle","AuditBridge listens stride/* + completion/* → AuditService.record(entity_type,id,action,actor_id,context). Events: registration/attendance/session/quote/trajectory/completion/user/mail/assistant.",AuditBridge.php,Yes,DRIVEN_PASS,"Audit log at admin.php?page=ntdst-audit-log renders Date/Entity/ID/Action/Actor with real entries.",,
AX-04,"Audit (Reveal sensitive field)",Admin,"As an admin, I want to reveal a sensitive field with logging so that access is accountable","GET /admin/users/{id}/reveal?field. stride_manage. Decrypted value + audit do_action ntdst/reveal_sensitive_field (field,user_id,admin_id). Field names whitelisted.","AdminAPIController.php 362-372",Yes,"DRIVEN_PASS (real REST)","GET /admin/users/13432/reveal?field=national_id -> {value:'90010112345'} 200 (after setting test PII; browser agent couldn't drive because no seed user had PII set).",,
PA-01,"Partner API (List users)",Partner,"As a partner, I want to list my company users so that I manage them","GET /partner/users. partner role + company_id>0. WP_User_Query meta _stride_company_id. Pagination per_page max 100. {id,email,first_name,last_name,registered_at}.","PartnerAPIController.php 138-173",Yes,"DRIVEN_PASS (real REST)","GET /partner/users -> 4 company users, 200.",,
PA-02,"Partner API (List enrollments)",Partner,"As a partner, I want to list company enrollments so that I track them","GET /partner/enrollments. Filters status/edition_id/user_id. user_id verified vs company. findByCompany(). Trajectory parents nest child_registrations. {id,user_id,edition,course,trajectory,status,...}.","PartnerAPIController.php 178-294",Yes,"DRIVEN_PASS (real REST)","GET /partner/enrollments -> real rows w/ status/edition/course, 200.",,
PA-03,"Partner API (Single enrollment)",Partner,"As a partner, I want a single enrollment's details so that I review it","GET /partner/enrollments/{id}. Verifies company_id (403 if not). Full data + nested children for parents.","PartnerAPIController.php 334-416",Yes,"DRIVEN_PASS (real REST)","GET /partner/enrollments/25868 -> full detail, 200.","FIXED: onPostSave param nullable + get_post() fallback + WP_Post guard (QueryCache.php)",
PA-04,"Partner API (List certificates)",Partner,"As a partner, I want to list company certificates so that I track completions","GET /partner/certificates. learndash_user_activity course completed>0, user IN company. Pagination. {user,course,completed_at,certificate_url}.","PartnerAPIController.php 421-527",Yes,"DRIVEN_PASS (real REST)","GET /partner/certificates -> 200 (empty set, valid).",,
PA-05,"Partner API (Attendance)",Partner,"As a partner, I want attendance records so that I monitor participation","GET /partner/attendance. Filters edition/user (max 50). user_id verified vs company. getByUsers(). Session hours from start/end. {user,session,status,hours}.","PartnerAPIController.php 532-609",Yes,"DRIVEN_PASS (real REST)","GET /partner/attendance -> rows with hours=7 (NB: old memory BUG-P2 'attendance-hours-0' is RESOLVED).",,
PA-06,"Partner API (Create enrollment)",Partner,"As a partner, I want to enroll a user via API so that I onboard staff","POST /partner/enrollments. user_email + edition_id|trajectory_id + create_user. Creates+affiliates if create_user. Verifies company (422/403). EnrollmentService::enroll/TrajectorySelection::enroll PATH_PARTNER. 201/400/404/409/422.","PartnerAPIController.php 614-723",Yes,"DRIVEN_PASS (real REST)","POST /partner/enrollments {student3, edition 56095} -> 201, id 25881 confirmed (cleaned up after).","FIXED via QueryCache onPostSave null-guard",
PA-07,"Partner API (Company scoping)",Partner,"As a partner, I want company scoping enforced so that I only see my company","checkPermission() company_id. List endpoints filter by company_id. user_id param verified. findByCompany() WHERE company_id. 403 'User does not belong to your company'.","PartnerAPIController.php 94-133",Yes,"DRIVEN_PASS (real REST)","Company scoping enforced: GET /partner/enrollments?user_id=<other-company> -> 403 'User does not belong to your company.'",,
